rome,rome_label,naf,naf_label,score
A1204,Protection du patrimoine naturel,5310Z,Activités de poste dans le cadre d'une obligation de service universel,1
A1205,Sylviculture,0240Z,Services de soutien à l'exploitation forestière,5
A1205,Sylviculture,0220Z,Exploitation forestière,4
A1205,Sylviculture,0210Z,Sylviculture et autres activités forestières,3
A1205,Sylviculture,8411Z,Administration publique générale,2
A1205,Sylviculture,8130Z,Services d'aménagement paysager,1
A1205,Sylviculture,4939C,Téléphériques et remontées mécaniques,1
A1205,Sylviculture,9499Z,Autres organisations fonctionnant par adhésion volontaire,1
A1205,Sylviculture,5610A,Restauration traditionnelle,1
A1301,Conseil et assistance technique en agriculture,0164Z,Traitement des semences,5
A1301,Conseil et assistance technique en agriculture,0210Z,Sylviculture et autres activités forestières,2
A1301,Conseil et assistance technique en agriculture,0128Z,"Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques",2
A1301,Conseil et assistance technique en agriculture,4623Z,Commerce de gros (commerce interentreprises) d'animaux vivants,2
A1301,Conseil et assistance technique en agriculture,0162Z,Activités de soutien à la production animale,2
A1301,Conseil et assistance technique en agriculture,4621Z,"Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail",1
A1301,Conseil et assistance technique en agriculture,9411Z,Activités des organisations patronales et consulaires,1
A1301,Conseil et assistance technique en agriculture,8413Z,Administration publique (tutelle) des activités économiques,1
A1301,Conseil et assistance technique en agriculture,7219Z,Recherche-développement en autres sciences physiques et naturelles,1
A1301,Conseil et assistance technique en agriculture,6920Z,Activités comptables,1
A1301,Conseil et assistance technique en agriculture,9499Z,Autres organisations fonctionnant par adhésion volontaire,1
A1301,Conseil et assistance technique en agriculture,7830Z,Autre mise à disposition de ressources humaines,1
A1301,Conseil et assistance technique en agriculture,8411Z,Administration publique générale,1
A1302,Contrôle et diagnostic technique en agriculture,0162Z,Activités de soutien à la production animale,5
A1302,Contrôle et diagnostic technique en agriculture,0112Z,Culture du riz,4
A1302,Contrôle et diagnostic technique en agriculture,4621Z,"Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail",2
A1302,Contrôle et diagnostic technique en agriculture,9411Z,Activités des organisations patronales et consulaires,1
A1302,Contrôle et diagnostic technique en agriculture,8413Z,Administration publique (tutelle) des activités économiques,1
A1302,Contrôle et diagnostic technique en agriculture,7120B,"Analyses, essais et inspections techniques",1
A1302,Contrôle et diagnostic technique en agriculture,7219Z,Recherche-développement en autres sciences physiques et naturelles,1
A1302,Contrôle et diagnostic technique en agriculture,7830Z,Autre mise à disposition de ressources humaines,1
A1302,Contrôle et diagnostic technique en agriculture,8411Z,Administration publique générale,1
A1303,Ingénierie en agriculture et environnement naturel,0170Z,"Chasse, piégeage et services annexes",5
A1303,Ingénierie en agriculture et environnement naturel,9104Z,Gestion des jardins botaniques et zoologiques et des réserves naturelles,4
A1303,Ingénierie en agriculture et environnement naturel,0892Z,Extraction de tourbe,4
A1303,Ingénierie en agriculture et environnement naturel,8413Z,Administration publique (tutelle) des activités économiques,3
A1303,Ingénierie en agriculture et environnement naturel,0610Z,Extraction de pétrole brut,2
A1303,Ingénierie en agriculture et environnement naturel,0128Z,"Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques",2
A1303,Ingénierie en agriculture et environnement naturel,9412Z,Activités des organisations professionnelles,2
A1303,Ingénierie en agriculture et environnement naturel,0164Z,Traitement des semences,2
A1303,Ingénierie en agriculture et environnement naturel,9411Z,Activités des organisations patronales et consulaires,2
A1303,Ingénierie en agriculture et environnement naturel,0322Z,Aquaculture en eau douce,2
A1303,Ingénierie en agriculture et environnement naturel,7219Z,Recherche-développement en autres sciences physiques et naturelles,2
A1303,Ingénierie en agriculture et environnement naturel,7220Z,Recherche-développement en sciences humaines et sociales,2
A1303,Ingénierie en agriculture et environnement naturel,7112B,"Ingénierie, études techniques",1
A1303,Ingénierie en agriculture et environnement naturel,9499Z,Autres organisations fonctionnant par adhésion volontaire,1
A1303,Ingénierie en agriculture et environnement naturel,7022Z,Conseil pour les affaires et autres conseils de gestion,1
A1401,Aide agricole de production fruitière ou viticole,0121Z,Culture de la vigne,5
A1401,Aide agricole de production fruitière ou viticole,0124Z,Culture de fruits à pépins et à noyau,5
A1401,Aide agricole de production fruitière ou viticole,0230Z,Récolte de produits forestiers non ligneux poussant à l'état sauvage,4
A1401,Aide agricole de production fruitière ou viticole,0125Z,Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque,4
A1401,Aide agricole de production fruitière ou viticole,0123Z,Culture d'agrumes,4
A1401,Aide agricole de production fruitière ou viticole,0129Z,Autres cultures permanentes,3
A1401,Aide agricole de production fruitière ou viticole,0113Z,"Culture de légumes, de melons, de racines et de tubercules",3
A1401,Aide agricole de production fruitière ou viticole,0163Z,Traitement primaire des récoltes,3
A1401,Aide agricole de production fruitière ou viticole,0130Z,Reproduction de plantes,3
A1401,Aide agricole de production fruitière ou viticole,0161Z,Activités de soutien aux cultures,3
A1401,Aide agricole de production fruitière ou viticole,4631Z,Commerce de gros (commerce interentreprises) de fruits et légumes,1
A1401,Aide agricole de production fruitière ou viticole,5610A,Restauration traditionnelle,1
A1401,Aide agricole de production fruitière ou viticole,8121Z,Nettoyage courant des bâtiments,1
A1401,Aide agricole de production fruitière ou viticole,8899B,Action sociale sans hébergement n.c.a.,1
A1401,Aide agricole de production fruitière ou viticole,9499Z,Autres organisations fonctionnant par adhésion volontaire,1
A1402,Aide agricole de production légumière ou végétale,0115Z,Culture du tabac,5
A1402,Aide agricole de production légumière ou végétale,0114Z,Culture de la canne à sucre,5
A1402,Aide agricole de production légumière ou végétale,0113Z,"Culture de légumes, de melons, de racines et de tubercules",4
A1402,Aide agricole de production légumière ou végétale,0124Z,Culture de fruits à pépins et à noyau,4
A1402,Aide agricole de production légumière ou végétale,0125Z,Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque,3
A1402,Aide agricole de production légumière ou végétale,1104Z,Production d'autres boissons fermentées non distillées,3
A1402,Aide agricole de production légumière ou végétale,0119Z,Autres cultures non permanentes,3
A1402,Aide agricole de production légumière ou végétale,0123Z,Culture d'agrumes,3
A1402,Aide agricole de production légumière ou végétale,0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",2
A1402,Aide agricole de production légumière ou végétale,0150Z,Culture et élevage associés,2
A1402,Aide agricole de production légumière ou végétale,0130Z,Reproduction de plantes,2
A1402,Aide agricole de production légumière ou végétale,0121Z,Culture de la vigne,1
A1402,Aide agricole de production légumière ou végétale,4631Z,Commerce de gros (commerce interentreprises) de fruits et légumes,1
A1402,Aide agricole de production légumière ou végétale,7830Z,Autre mise à disposition de ressources humaines,1
A1402,Aide agricole de production légumière ou végétale,8899B,Action sociale sans hébergement n.c.a.,1
A1403,Aide d'élevage agricole et aquacole,0143Z,Élevage de chevaux et d'autres équidés,5
A1403,Aide d'élevage agricole et aquacole,0322Z,Aquaculture en eau douce,2
A1403,Aide d'élevage agricole et aquacole,0162Z,Activités de soutien à la production animale,2
A1403,Aide d'élevage agricole et aquacole,0149Z,Élevage d'autres animaux,2
A1403,Aide d'élevage agricole et aquacole,0141Z,Élevage de vaches laitières,2
A1403,Aide d'élevage agricole et aquacole,0150Z,Culture et élevage associés,2
A1403,Aide d'élevage agricole et aquacole,0142Z,Élevage d'autres bovins et de buffles,2
A1403,Aide d'élevage agricole et aquacole,8551Z,Enseignement de disciplines sportives et d'activités de loisirs,1
A1403,Aide d'élevage agricole et aquacole,4711F,Hypermarchés,1
A1403,Aide d'élevage agricole et aquacole,8899B,Action sociale sans hébergement n.c.a.,1
A1403,Aide d'élevage agricole et aquacole,5610C,Restauration de type rapide,1
A1403,Aide d'élevage agricole et aquacole,9499Z,Autres organisations fonctionnant par adhésion volontaire,1
A1403,Aide d'élevage agricole et aquacole,7830Z,Autre mise à disposition de ressources humaines,1
A1403,Aide d'élevage agricole et aquacole,8411Z,Administration publique générale,1
A1403,Aide d'élevage agricole et aquacole,5610A,Restauration traditionnelle,1
A1404,Aquaculture,0322Z,Aquaculture en eau douce,5
A1404,Aquaculture,0321Z,Aquaculture en mer,5
A1404,Aquaculture,0312Z,Pêche en eau douce,4
A1404,Aquaculture,4638A,"Commerce de gros (commerce interentreprises) de poissons, crustacés et mollusques",2
A1404,Aquaculture,0891Z,Extraction des minéraux chimiques et d'engrais minéraux,1
A1404,Aquaculture,0311Z,Pêche en mer,1
A1404,Aquaculture,5530Z,Terrains de camping et parcs pour caravanes ou véhicules de loisirs,1
A1404,Aquaculture,5610C,Restauration de type rapide,1
A1404,Aquaculture,5610A,Restauration traditionnelle,1
A1404,Aquaculture,7830Z,Autre mise à disposition de ressources humaines,1
A1404,Aquaculture,8411Z,Administration publique générale,1
A1405,Arboriculture et viticulture,0127Z,Culture de plantes à boissons,5
A1405,Arboriculture et viticulture,0121Z,Culture de la vigne,5
A1405,Arboriculture et viticulture,0161Z,Activités de soutien aux cultures,5
A1405,Arboriculture et viticulture,0124Z,Culture de fruits à pépins et à noyau,3
A1405,Arboriculture et viticulture,1102B,Vinification,3
A1405,Arboriculture et viticulture,1102A,Fabrication de vins effervescents,3
A1405,Arboriculture et viticulture,0115Z,Culture du tabac,1
A1405,Arboriculture et viticulture,0129Z,Autres cultures permanentes,1
A1405,Arboriculture et viticulture,0125Z,Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque,1
A1405,Arboriculture et viticulture,0130Z,Reproduction de plantes,1
A1405,Arboriculture et viticulture,7830Z,Autre mise à disposition de ressources humaines,1
A1405,Arboriculture et viticulture,5610A,Restauration traditionnelle,1
A1405,Arboriculture et viticulture,8411Z,Administration publique générale,1
A1406,Encadrement équipage de la pêche,2221Z,"Fabrication de plaques, feuilles, tubes et profilés en matières plastiques",5
A1406,Encadrement équipage de la pêche,8411Z,Administration publique générale,5
A1406,Encadrement équipage de la pêche,7010Z,Activités des sièges sociaux,3
A1406,Encadrement équipage de la pêche,5510Z,Hôtels et hébergement similaire,3
A1406,Encadrement équipage de la pêche,0311Z,Pêche en mer,1
A1406,Encadrement équipage de la pêche,0145Z,Élevage d'ovins et de caprins,1
A1406,Encadrement équipage de la pêche,4638A,"Commerce de gros (commerce interentreprises) de poissons, crustacés et mollusques",1
A1406,Encadrement équipage de la pêche,4311Z,Travaux de démolition,1
A1406,Encadrement équipage de la pêche,7711A,Location de courte durée de voitures et de véhicules automobiles légers,1
A1406,Encadrement équipage de la pêche,4711C,Supérettes,1
A1406,Encadrement équipage de la pêche,4764Z,Commerce de détail d'articles de sport en magasin spécialisé,1
A1406,Encadrement équipage de la pêche,9329Z,Autres activités récréatives et de loisirs,1
A1406,Encadrement équipage de la pêche,8559A,Formation continue d'adultes,1
A1406,Encadrement équipage de la pêche,7112B,"Ingénierie, études techniques",1
A1406,Encadrement équipage de la pêche,5610A,Restauration traditionnelle,1
A1407,Élevage bovin ou équin,0141Z,Élevage de vaches laitières,5
A1407,Élevage bovin ou équin,0142Z,Élevage d'autres bovins et de buffles,5
A1407,Élevage bovin ou équin,0146Z,Élevage de porcins,3
A1407,Élevage bovin ou équin,0150Z,Culture et élevage associés,3
A1407,Élevage bovin ou équin,4623Z,Commerce de gros (commerce interentreprises) d'animaux vivants,3
A1407,Élevage bovin ou équin,0143Z,Élevage de chevaux et d'autres équidés,3
A1407,Élevage bovin ou équin,7731Z,Location et location-bail de machines et équipements agricoles,3
A1407,Élevage bovin ou équin,0162Z,Activités de soutien à la production animale,1
A1407,Élevage bovin ou équin,0145Z,Élevage d'ovins et de caprins,1
A1407,Élevage bovin ou équin,0164Z,Traitement des semences,1
A1407,Élevage bovin ou équin,0112Z,Culture du riz,1
A1407,Élevage bovin ou équin,0147Z,Élevage de volailles,1
A1407,Élevage bovin ou équin,4611Z,"Intermédiaires du commerce en matières premières agricoles, animaux vivants, matières premières textiles et produits semi-finis",1
A1407,Élevage bovin ou équin,2434Z,Tréfilage à froid,1
A1407,Élevage bovin ou équin,7830Z,Autre mise à disposition de ressources humaines,1
A1408,Élevage d'animaux sauvages ou de compagnie,0170Z,"Chasse, piégeage et services annexes",5
A1408,Élevage d'animaux sauvages ou de compagnie,0129Z,Autres cultures permanentes,4
A1408,Élevage d'animaux sauvages ou de compagnie,0149Z,Élevage d'autres animaux,2
A1408,Élevage d'animaux sauvages ou de compagnie,0210Z,Sylviculture et autres activités forestières,2
A1408,Élevage d'animaux sauvages ou de compagnie,4776Z,"Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces animaux en magasin spécialisé",1
A1408,Élevage d'animaux sauvages ou de compagnie,7219Z,Recherche-développement en autres sciences physiques et naturelles,1
A1408,Élevage d'animaux sauvages ou de compagnie,9609Z,Autres services personnels n.c.a.,1
A1408,Élevage d'animaux sauvages ou de compagnie,5310Z,Activités de poste dans le cadre d'une obligation de service universel,1
A1408,Élevage d'animaux sauvages ou de compagnie,9499Z,Autres organisations fonctionnant par adhésion volontaire,1
A1408,Élevage d'animaux sauvages ou de compagnie,8010Z,Activités de sécurité privée,1
A1408,Élevage d'animaux sauvages ou de compagnie,4711F,Hypermarchés,1
A1408,Élevage d'animaux sauvages ou de compagnie,5610C,Restauration de type rapide,1
A1408,Élevage d'animaux sauvages ou de compagnie,5610A,Restauration traditionnelle,1
A1408,Élevage d'animaux sauvages ou de compagnie,7830Z,Autre mise à disposition de ressources humaines,1
A1408,Élevage d'animaux sauvages ou de compagnie,8411Z,Administration publique générale,1
A1409,Élevage de lapins et volailles,0147Z,Élevage de volailles,5
A1409,Élevage de lapins et volailles,1012Z,Transformation et conservation de la viande de volaille,1
A1409,Élevage de lapins et volailles,7830Z,Autre mise à disposition de ressources humaines,1
A1409,Élevage de lapins et volailles,8122Z,Autres activités de nettoyage des bâtiments et nettoyage industriel,1
A1409,Élevage de lapins et volailles,8899B,Action sociale sans hébergement n.c.a.,1
A1409,Élevage de lapins et volailles,8411Z,Administration publique générale,1
A1410,Élevage ovin ou caprin,0145Z,Élevage d'ovins et de caprins,5
A1410,Élevage ovin ou caprin,0162Z,Activités de soutien à la production animale,2
A1410,Élevage ovin ou caprin,0150Z,Culture et élevage associés,2
A1410,Élevage ovin ou caprin,0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",1
A1410,Élevage ovin ou caprin,1051C,Fabrication de fromage,1
A1410,Élevage ovin ou caprin,4939C,Téléphériques et remontées mécaniques,1
A1410,Élevage ovin ou caprin,7830Z,Autre mise à disposition de ressources humaines,1
A1410,Élevage ovin ou caprin,5510Z,Hôtels et hébergement similaire,1
A1410,Élevage ovin ou caprin,8411Z,Administration publique générale,1
A1410,Élevage ovin ou caprin,5610A,Restauration traditionnelle,1
A1411,Élevage porcin,0146Z,Élevage de porcins,5
A1411,Élevage porcin,0150Z,Culture et élevage associés,1
A1411,Élevage porcin,0141Z,Élevage de vaches laitières,1
A1411,Élevage porcin,0162Z,Activités de soutien à la production animale,1
A1411,Élevage porcin,1011Z,Transformation et conservation de la viande de boucherie,1
A1411,Élevage porcin,7830Z,Autre mise à disposition de ressources humaines,1
A1411,Élevage porcin,8411Z,Administration publique générale,1
A1412,Fabrication et affinage de fromages,1051C,Fabrication de fromage,5
A1412,Fabrication et affinage de fromages,0141Z,Élevage de vaches laitières,1
A1412,Fabrication et affinage de fromages,4729Z,Autres commerces de détail alimentaires en magasin spécialisé,1
A1412,Fabrication et affinage de fromages,8710B,Hébergement médicalisé pour enfants handicapés,1
A1412,Fabrication et affinage de fromages,8121Z,Nettoyage courant des bâtiments,1
A1412,Fabrication et affinage de fromages,8411Z,Administration publique générale,1
A1412,Fabrication et affinage de fromages,5610A,Restauration traditionnelle,1
A1413,Fermentation de boissons alcoolisées,1102A,Fabrication de vins effervescents,5
A1413,Fermentation de boissons alcoolisées,1102B,Vinification,4
A1413,Fermentation de boissons alcoolisées,1103Z,Fabrication de cidre et de vins de fruits,3
A1413,Fermentation de boissons alcoolisées,0121Z,Culture de la vigne,3
A1413,Fermentation de boissons alcoolisées,4725Z,Commerce de détail de boissons en magasin spécialisé,2
A1413,Fermentation de boissons alcoolisées,1101Z,Production de boissons alcooliques distillées,2
A1413,Fermentation de boissons alcoolisées,4634Z,Commerce de gros (commerce interentreprises) de boissons,2
A1413,Fermentation de boissons alcoolisées,1105Z,Fabrication de bière,1
A1413,Fermentation de boissons alcoolisées,0126Z,Culture de fruits oléagineux,1
A1413,Fermentation de boissons alcoolisées,0128Z,"Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques",1
A1413,Fermentation de boissons alcoolisées,5610A,Restauration traditionnelle,1
A1414,Horticulture et maraîchage,0113Z,"Culture de légumes, de melons, de racines et de tubercules",5
A1414,Horticulture et maraîchage,0130Z,Reproduction de plantes,5
A1414,Horticulture et maraîchage,0119Z,Autres cultures non permanentes,4
A1414,Horticulture et maraîchage,0125Z,Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque,4
A1414,Horticulture et maraîchage,0128Z,"Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques",4
A1414,Horticulture et maraîchage,0123Z,Culture d'agrumes,3
A1414,Horticulture et maraîchage,0210Z,Sylviculture et autres activités forestières,3
A1414,Horticulture et maraîchage,4622Z,Commerce de gros (commerce interentreprises) de fleurs et plantes,3
A1414,Horticulture et maraîchage,0129Z,Autres cultures permanentes,3
A1414,Horticulture et maraîchage,0124Z,Culture de fruits à pépins et à noyau,3
A1414,Horticulture et maraîchage,4776Z,"Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces animaux en magasin spécialisé",2
A1414,Horticulture et maraîchage,0121Z,Culture de la vigne,1
A1414,Horticulture et maraîchage,8121Z,Nettoyage courant des bâtiments,1
A1414,Horticulture et maraîchage,8411Z,Administration publique générale,1
A1414,Horticulture et maraîchage,9499Z,Autres organisations fonctionnant par adhésion volontaire,1
A1415,Equipage de la pêche,0311Z,Pêche en mer,5
A1415,Equipage de la pêche,1394Z,"Fabrication de ficelles, cordes et filets",4
A1415,Equipage de la pêche,4638A,"Commerce de gros (commerce interentreprises) de poissons, crustacés et mollusques",1
A1415,Equipage de la pêche,1020Z,"Transformation et conservation de poisson, de crustacés et de mollusques",1
A1415,Equipage de la pêche,4941B,Transports routiers de fret de proximité,1
A1415,Equipage de la pêche,9499Z,Autres organisations fonctionnant par adhésion volontaire,1
A1415,Equipage de la pêche,4711D,Supermarchés,1
A1415,Equipage de la pêche,4399C,Travaux de maçonnerie générale et gros œuvre de bâtiment,1
A1415,Equipage de la pêche,8411Z,Administration publique générale,1
A1415,Equipage de la pêche,5610A,Restauration traditionnelle,1
A1416,"Polyculture, élevage",0142Z,Élevage d'autres bovins et de buffles,5
A1416,"Polyculture, élevage",0115Z,Culture du tabac,5
A1416,"Polyculture, élevage",0150Z,Culture et élevage associés,5
A1416,"Polyculture, élevage",0122Z,Culture de fruits tropicaux et subtropicaux,5
A1416,"Polyculture, élevage",0114Z,Culture de la canne à sucre,5
A1416,"Polyculture, élevage",0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",5
A1416,"Polyculture, élevage",7731Z,Location et location-bail de machines et équipements agricoles,5
A1416,"Polyculture, élevage",0145Z,Élevage d'ovins et de caprins,5
A1416,"Polyculture, élevage",0146Z,Élevage de porcins,5
A1416,"Polyculture, élevage",0161Z,Activités de soutien aux cultures,5
A1416,"Polyculture, élevage",0141Z,Élevage de vaches laitières,5
A1416,"Polyculture, élevage",0124Z,Culture de fruits à pépins et à noyau,4
A1416,"Polyculture, élevage",4623Z,Commerce de gros (commerce interentreprises) d'animaux vivants,3
A1416,"Polyculture, élevage",0129Z,Autres cultures permanentes,3
A1416,"Polyculture, élevage",0112Z,Culture du riz,3
A1417,Saliculture,4321A,Travaux d'installation électrique dans tous locaux,5
A1417,Saliculture,8411Z,Administration publique générale,5
A1417,Saliculture,8531Z,Enseignement secondaire général,3
A1417,Saliculture,3700Z,Collecte et traitement des eaux usées,3
A1417,Saliculture,4781Z,Commerce de détail alimentaire sur éventaires et marchés,3
A1417,Saliculture,5510Z,Hôtels et hébergement similaire,3
A1417,Saliculture,0150Z,Culture et élevage associés,1
A1417,Saliculture,5610C,Restauration de type rapide,1
A1417,Saliculture,4711D,Supermarchés,1
A1417,Saliculture,4711F,Hypermarchés,1
A1417,Saliculture,4941A,Transports routiers de fret interurbains,1
A1417,Saliculture,9312Z,Activités de clubs de sports,1
A1417,Saliculture,5530Z,Terrains de camping et parcs pour caravanes ou véhicules de loisirs,1
A1417,Saliculture,4723Z,"Commerce de détail de poissons, crustacés et mollusques en magasin spécialisé",1
A1417,Saliculture,8710C,Hébergement médicalisé pour adultes handicapés et autre hébergement médicalisé,1
A1501,Aide aux soins animaux,7500Z,Activités vétérinaires,5
A1501,Aide aux soins animaux,0143Z,Élevage de chevaux et d'autres équidés,3
A1501,Aide aux soins animaux,9104Z,Gestion des jardins botaniques et zoologiques et des réserves naturelles,3
A1501,Aide aux soins animaux,5812Z,Édition de répertoires et de fichiers d'adresses,1
A1501,Aide aux soins animaux,4711F,Hypermarchés,1
A1501,Aide aux soins animaux,9499Z,Autres organisations fonctionnant par adhésion volontaire,1
A1501,Aide aux soins animaux,4711D,Supermarchés,1
A1501,Aide aux soins animaux,5610C,Restauration de type rapide,1
A1501,Aide aux soins animaux,8411Z,Administration publique générale,1
A1501,Aide aux soins animaux,5610A,Restauration traditionnelle,1
A1502,Podologie animale,0162Z,Activités de soutien à la production animale,5
A1502,Podologie animale,9329Z,Autres activités récréatives et de loisirs,1
A1502,Podologie animale,5610C,Restauration de type rapide,1
A1502,Podologie animale,8411Z,Administration publique générale,1
A1503,Toilettage des animaux,9609Z,Autres services personnels n.c.a.,5
A1503,Toilettage des animaux,8810A,Aide à domicile,3
A1503,Toilettage des animaux,4776Z,"Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces animaux en magasin spécialisé",1
A1503,Toilettage des animaux,4711D,Supermarchés,1
A1503,Toilettage des animaux,5610C,Restauration de type rapide,1
A1503,Toilettage des animaux,4711F,Hypermarchés,1
A1503,Toilettage des animaux,8121Z,Nettoyage courant des bâtiments,1
A1503,Toilettage des animaux,7830Z,Autre mise à disposition de ressources humaines,1
A1503,Toilettage des animaux,5610A,Restauration traditionnelle,1
A1503,Toilettage des animaux,5510Z,Hôtels et hébergement similaire,1
A1503,Toilettage des animaux,8411Z,Administration publique générale,1
A1504,Santé animale,7500Z,Activités vétérinaires,5
A1504,Santé animale,5610A,Restauration traditionnelle,1
B1101,Création en arts plastiques,9003A,Création artistique relevant des arts plastiques,5
B1101,Création en arts plastiques,9003B,Autre création artistique,2
B1101,Création en arts plastiques,9002Z,Activités de soutien au spectacle vivant,1
B1101,Création en arts plastiques,9001Z,Arts du spectacle vivant,1
B1101,Création en arts plastiques,8542Z,Enseignement supérieur,1
B1101,Création en arts plastiques,9499Z,Autres organisations fonctionnant par adhésion volontaire,1
B1101,Création en arts plastiques,8411Z,Administration publique générale,1
B1101,Création en arts plastiques,5610A,Restauration traditionnelle,1
B1201,Réalisation d'objets décoratifs et utilitaires en céramique et matériaux de synthèse,2341Z,Fabrication d'articles céramiques à usage domestique ou ornemental,5
