rome,rome_label,naf,naf_label,score
A1204,Protection du patrimoine naturel,0170Z,"Chasse, piégeage et services annexes",2.0
A1204,Protection du patrimoine naturel,9104Z,Gestion des jardins botaniques et zoologiques et des réserves naturelles,2.0
A1205,Sylviculture,0240Z,Services de soutien à l'exploitation forestière,2.0
A1205,Sylviculture,0220Z,Exploitation forestière,2.0
A1205,Sylviculture,0210Z,Sylviculture et autres activités forestières,1.0
A1301,Conseil et assistance technique en agriculture,0164Z,Traitement des semences,3.0
A1301,Conseil et assistance technique en agriculture,0210Z,Sylviculture et autres activités forestières,1.0
A1301,Conseil et assistance technique en agriculture,0128Z,"Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques",1.0
A1301,Conseil et assistance technique en agriculture,4623Z,Commerce de gros (commerce interentreprises) d'animaux vivants,1.0
A1301,Conseil et assistance technique en agriculture,0162Z,Activités de soutien à la production animale,1.0
A1301,Conseil et assistance technique en agriculture,4621Z,"Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail",1.0
A1301,Conseil et assistance technique en agriculture,9411Z,Activités des organisations patronales et consulaires,1.0
A1301,Conseil et assistance technique en agriculture,4675Z,Commerce de gros (commerce interentreprises) de produits chimiques,1.0
A1302,Contrôle et diagnostic technique en agriculture,0162Z,Activités de soutien à la production animale,2.0
A1302,Contrôle et diagnostic technique en agriculture,0112Z,Culture du riz,1.0
A1302,Contrôle et diagnostic technique en agriculture,0150Z,Culture et élevage associés,1.0
A1302,Contrôle et diagnostic technique en agriculture,4621Z,"Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail",1.0
A1303,Ingénierie en agriculture et environnement naturel,0170Z,"Chasse, piégeage et services annexes",3.0
A1303,Ingénierie en agriculture et environnement naturel,9104Z,Gestion des jardins botaniques et zoologiques et des réserves naturelles,3.0
A1303,Ingénierie en agriculture et environnement naturel,0892Z,Extraction de tourbe,2.0
A1303,Ingénierie en agriculture et environnement naturel,9411Z,Activités des organisations patronales et consulaires,2.0
A1303,Ingénierie en agriculture et environnement naturel,8413Z,Administration publique (tutelle) des activités économiques,2.0
A1303,Ingénierie en agriculture et environnement naturel,7219Z,Recherche-développement en autres sciences physiques et naturelles,2.0
A1303,Ingénierie en agriculture et environnement naturel,0610Z,Extraction de pétrole brut,1.0
A1303,Ingénierie en agriculture et environnement naturel,0128Z,"Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques",1.0
A1303,Ingénierie en agriculture et environnement naturel,9412Z,Activités des organisations professionnelles,1.0
A1303,Ingénierie en agriculture et environnement naturel,0164Z,Traitement des semences,1.0
A1303,Ingénierie en agriculture et environnement naturel,0322Z,Aquaculture en eau douce,1.0
A1303,Ingénierie en agriculture et environnement naturel,7220Z,Recherche-développement en sciences humaines et sociales,1.0
A1303,Ingénierie en agriculture et environnement naturel,7120B,"Analyses, essais et inspections techniques",1.0
A1401,Aide agricole de production fruitière ou viticole,0124Z,Culture de fruits à pépins et à noyau,4.0
A1401,Aide agricole de production fruitière ou viticole,0121Z,Culture de la vigne,4.0
A1401,Aide agricole de production fruitière ou viticole,0230Z,Récolte de produits forestiers non ligneux poussant à l'état sauvage,3.0
A1401,Aide agricole de production fruitière ou viticole,0125Z,Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque,3.0
A1401,Aide agricole de production fruitière ou viticole,0123Z,Culture d'agrumes,3.0
A1401,Aide agricole de production fruitière ou viticole,0113Z,"Culture de légumes, de melons, de racines et de tubercules",3.0
A1401,Aide agricole de production fruitière ou viticole,0161Z,Activités de soutien aux cultures,2.0
A1401,Aide agricole de production fruitière ou viticole,0130Z,Reproduction de plantes,2.0
A1401,Aide agricole de production fruitière ou viticole,0163Z,Traitement primaire des récoltes,2.0
A1401,Aide agricole de production fruitière ou viticole,0129Z,Autres cultures permanentes,2.0
A1401,Aide agricole de production fruitière ou viticole,0115Z,Culture du tabac,1.0
A1401,Aide agricole de production fruitière ou viticole,1104Z,Production d'autres boissons fermentées non distillées,1.0
A1401,Aide agricole de production fruitière ou viticole,0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",1.0
A1401,Aide agricole de production fruitière ou viticole,0128Z,"Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques",1.0
A1401,Aide agricole de production fruitière ou viticole,0119Z,Autres cultures non permanentes,1.0
A1402,Aide agricole de production légumière ou végétale,0115Z,Culture du tabac,3.0
A1402,Aide agricole de production légumière ou végétale,0114Z,Culture de la canne à sucre,3.0
A1402,Aide agricole de production légumière ou végétale,0113Z,"Culture de légumes, de melons, de racines et de tubercules",3.0
A1402,Aide agricole de production légumière ou végétale,0124Z,Culture de fruits à pépins et à noyau,3.0
A1402,Aide agricole de production légumière ou végétale,0125Z,Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque,2.0
A1402,Aide agricole de production légumière ou végétale,1104Z,Production d'autres boissons fermentées non distillées,2.0
A1402,Aide agricole de production légumière ou végétale,0119Z,Autres cultures non permanentes,2.0
A1402,Aide agricole de production légumière ou végétale,0123Z,Culture d'agrumes,2.0
A1402,Aide agricole de production légumière ou végétale,0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",2.0
A1402,Aide agricole de production légumière ou végétale,0130Z,Reproduction de plantes,1.0
A1402,Aide agricole de production légumière ou végétale,0150Z,Culture et élevage associés,1.0
A1402,Aide agricole de production légumière ou végétale,0121Z,Culture de la vigne,1.0
A1402,Aide agricole de production légumière ou végétale,4631Z,Commerce de gros (commerce interentreprises) de fruits et légumes,1.0
A1403,Aide d'élevage agricole et aquacole,0143Z,Élevage de chevaux et d'autres équidés,4.0
A1403,Aide d'élevage agricole et aquacole,0322Z,Aquaculture en eau douce,1.0
A1403,Aide d'élevage agricole et aquacole,0162Z,Activités de soutien à la production animale,1.0
A1403,Aide d'élevage agricole et aquacole,0149Z,Élevage d'autres animaux,1.0
A1403,Aide d'élevage agricole et aquacole,0141Z,Élevage de vaches laitières,1.0
A1403,Aide d'élevage agricole et aquacole,0150Z,Culture et élevage associés,1.0
A1403,Aide d'élevage agricole et aquacole,0142Z,Élevage d'autres bovins et de buffles,1.0
A1403,Aide d'élevage agricole et aquacole,8551Z,Enseignement de disciplines sportives et d'activités de loisirs,1.0
A1404,Aquaculture,0322Z,Aquaculture en eau douce,4.0
A1404,Aquaculture,0321Z,Aquaculture en mer,4.0
A1404,Aquaculture,0312Z,Pêche en eau douce,3.0
A1404,Aquaculture,4638A,"Commerce de gros (commerce interentreprises) de poissons, crustacés et mollusques",2.0
A1404,Aquaculture,0891Z,Extraction des minéraux chimiques et d'engrais minéraux,1.0
A1404,Aquaculture,0311Z,Pêche en mer,1.0
A1405,Arboriculture et viticulture,0127Z,Culture de plantes à boissons,4.0
A1405,Arboriculture et viticulture,0121Z,Culture de la vigne,4.0
A1405,Arboriculture et viticulture,0161Z,Activités de soutien aux cultures,4.0
A1405,Arboriculture et viticulture,0124Z,Culture de fruits à pépins et à noyau,3.0
A1405,Arboriculture et viticulture,1102B,Vinification,2.0
A1405,Arboriculture et viticulture,1102A,Fabrication de vins effervescents,2.0
A1405,Arboriculture et viticulture,0115Z,Culture du tabac,1.0
A1405,Arboriculture et viticulture,0129Z,Autres cultures permanentes,1.0
A1405,Arboriculture et viticulture,0125Z,Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque,1.0
A1405,Arboriculture et viticulture,0130Z,Reproduction de plantes,1.0
A1405,Arboriculture et viticulture,4634Z,Commerce de gros (commerce interentreprises) de boissons,1.0
A1407,Élevage bovin ou équin,0141Z,Élevage de vaches laitières,4.0
A1407,Élevage bovin ou équin,0142Z,Élevage d'autres bovins et de buffles,4.0
A1407,Élevage bovin ou équin,0150Z,Culture et élevage associés,3.0
A1407,Élevage bovin ou équin,0146Z,Élevage de porcins,2.0
A1407,Élevage bovin ou équin,4623Z,Commerce de gros (commerce interentreprises) d'animaux vivants,2.0
A1407,Élevage bovin ou équin,0143Z,Élevage de chevaux et d'autres équidés,2.0
A1407,Élevage bovin ou équin,7731Z,Location et location-bail de machines et équipements agricoles,2.0
A1407,Élevage bovin ou équin,0162Z,Activités de soutien à la production animale,2.0
A1407,Élevage bovin ou équin,0145Z,Élevage d'ovins et de caprins,1.0
A1407,Élevage bovin ou équin,0164Z,Traitement des semences,1.0
A1407,Élevage bovin ou équin,0112Z,Culture du riz,1.0
A1407,Élevage bovin ou équin,0147Z,Élevage de volailles,1.0
A1407,Élevage bovin ou équin,4611Z,"Intermédiaires du commerce en matières premières agricoles, animaux vivants, matières premières textiles et produits semi-finis",1.0
A1407,Élevage bovin ou équin,2434Z,Tréfilage à froid,1.0
A1407,Élevage bovin ou équin,0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",1.0
A1408,Élevage d'animaux sauvages ou de compagnie,0170Z,"Chasse, piégeage et services annexes",3.0
A1408,Élevage d'animaux sauvages ou de compagnie,0129Z,Autres cultures permanentes,2.0
A1408,Élevage d'animaux sauvages ou de compagnie,0149Z,Élevage d'autres animaux,1.0
A1408,Élevage d'animaux sauvages ou de compagnie,0210Z,Sylviculture et autres activités forestières,1.0
A1409,Élevage de lapins et volailles,0147Z,Élevage de volailles,3.0
A1409,Élevage de lapins et volailles,0162Z,Activités de soutien à la production animale,1.0
A1410,Élevage ovin ou caprin,0145Z,Élevage d'ovins et de caprins,4.0
A1410,Élevage ovin ou caprin,0162Z,Activités de soutien à la production animale,2.0
A1410,Élevage ovin ou caprin,0150Z,Culture et élevage associés,2.0
A1411,Élevage porcin,0146Z,Élevage de porcins,4.0
A1411,Élevage porcin,0150Z,Culture et élevage associés,1.0
A1411,Élevage porcin,0141Z,Élevage de vaches laitières,1.0
A1412,Fabrication et affinage de fromages,1051C,Fabrication de fromage,1.0
A1412,Fabrication et affinage de fromages,0145Z,Élevage d'ovins et de caprins,1.0
A1412,Fabrication et affinage de fromages,0141Z,Élevage de vaches laitières,1.0
A1413,Fermentation de boissons alcoolisées,1102A,Fabrication de vins effervescents,4.0
A1413,Fermentation de boissons alcoolisées,1102B,Vinification,3.0
A1413,Fermentation de boissons alcoolisées,1103Z,Fabrication de cidre et de vins de fruits,2.0
A1413,Fermentation de boissons alcoolisées,1105Z,Fabrication de bière,2.0
A1413,Fermentation de boissons alcoolisées,0121Z,Culture de la vigne,2.0
A1413,Fermentation de boissons alcoolisées,4725Z,Commerce de détail de boissons en magasin spécialisé,2.0
A1413,Fermentation de boissons alcoolisées,1101Z,Production de boissons alcooliques distillées,2.0
A1413,Fermentation de boissons alcoolisées,4634Z,Commerce de gros (commerce interentreprises) de boissons,2.0
A1413,Fermentation de boissons alcoolisées,0126Z,Culture de fruits oléagineux,1.0
A1413,Fermentation de boissons alcoolisées,0128Z,"Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques",1.0
A1414,Horticulture et maraîchage,0113Z,"Culture de légumes, de melons, de racines et de tubercules",4.0
A1414,Horticulture et maraîchage,0130Z,Reproduction de plantes,4.0
A1414,Horticulture et maraîchage,0119Z,Autres cultures non permanentes,3.0
A1414,Horticulture et maraîchage,0125Z,Culture d'autres fruits d'arbres ou d'arbustes et de fruits à coque,3.0
A1414,Horticulture et maraîchage,0128Z,"Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques",3.0
A1414,Horticulture et maraîchage,0124Z,Culture de fruits à pépins et à noyau,3.0
A1414,Horticulture et maraîchage,4622Z,Commerce de gros (commerce interentreprises) de fleurs et plantes,2.0
A1414,Horticulture et maraîchage,4776Z,"Commerce de détail de fleurs, plantes, graines, engrais, animaux de compagnie et aliments pour ces animaux en magasin spécialisé",2.0
A1414,Horticulture et maraîchage,0210Z,Sylviculture et autres activités forestières,2.0
A1414,Horticulture et maraîchage,0123Z,Culture d'agrumes,2.0
A1414,Horticulture et maraîchage,0129Z,Autres cultures permanentes,2.0
A1414,Horticulture et maraîchage,0114Z,Culture de la canne à sucre,1.0
A1414,Horticulture et maraîchage,0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",1.0
A1414,Horticulture et maraîchage,0122Z,Culture de fruits tropicaux et subtropicaux,1.0
A1414,Horticulture et maraîchage,0150Z,Culture et élevage associés,1.0
A1415,Equipage de la pêche,0311Z,Pêche en mer,2.0
A1415,Equipage de la pêche,1394Z,"Fabrication de ficelles, cordes et filets",1.0
A1416,"Polyculture, élevage",0141Z,Élevage de vaches laitières,4.0
A1416,"Polyculture, élevage",0150Z,Culture et élevage associés,4.0
A1416,"Polyculture, élevage",0111Z,"Culture de céréales (à l'exception du riz), de légumineuses et de graines oléagineuses",4.0
A1416,"Polyculture, élevage",0161Z,Activités de soutien aux cultures,4.0
A1416,"Polyculture, élevage",0142Z,Élevage d'autres bovins et de buffles,3.0
A1416,"Polyculture, élevage",0115Z,Culture du tabac,3.0
A1416,"Polyculture, élevage",0122Z,Culture de fruits tropicaux et subtropicaux,3.0
A1416,"Polyculture, élevage",0114Z,Culture de la canne à sucre,3.0
A1416,"Polyculture, élevage",7731Z,Location et location-bail de machines et équipements agricoles,3.0
A1416,"Polyculture, élevage",0145Z,Élevage d'ovins et de caprins,3.0
A1416,"Polyculture, élevage",0146Z,Élevage de porcins,3.0
A1416,"Polyculture, élevage",0124Z,Culture de fruits à pépins et à noyau,3.0
A1416,"Polyculture, élevage",0121Z,Culture de la vigne,2.0
A1416,"Polyculture, élevage",4621Z,"Commerce de gros (commerce interentreprises) de céréales, de tabac non manufacturé, de semences et d'aliments pour le bétail",2.0
A1416,"Polyculture, élevage",0113Z,"Culture de légumes, de melons, de racines et de tubercules",2.0
A1501,Aide aux soins animaux,7500Z,Activités vétérinaires,4.0
A1501,Aide aux soins animaux,9104Z,Gestion des jardins botaniques et zoologiques et des réserves naturelles,3.0
A1501,Aide aux soins animaux,0143Z,Élevage de chevaux et d'autres équidés,2.0
A1501,Aide aux soins animaux,5812Z,Édition de répertoires et de fichiers d'adresses,1.0
A1502,Podologie animale,0162Z,Activités de soutien à la production animale,2.0
A1504,Santé animale,7500Z,Activités vétérinaires,4.0
B1101,Création en arts plastiques,9003A,Création artistique relevant des arts plastiques,2.0
B1101,Création en arts plastiques,9003B,Autre création artistique,1.0
B1101,Création en arts plastiques,9002Z,Activités de soutien au spectacle vivant,1.0
B1201,Réalisation d'objets décoratifs et utilitaires en céramique et matériaux de synthèse,2341Z,Fabrication d'articles céramiques à usage domestique ou ornemental,2.0
B1302,Décoration d'objets d'art et artisanaux,9003A,Création artistique relevant des arts plastiques,2.0
B1302,Décoration d'objets d'art et artisanaux,2341Z,Fabrication d'articles céramiques à usage domestique ou ornemental,2.0
B1303,Gravure - ciselure,3211Z,Frappe de monnaie,2.0
B1402,Reliure et restauration de livres et archives,1814Z,Reliure et activités connexes,2.0
B1402,Reliure et restauration de livres et archives,9003A,Création artistique relevant des arts plastiques,1.0
B1501,Fabrication et réparation d'instruments de musique,3220Z,Fabrication d'instruments de musique,3.0
B1601,Métallerie d'art,4332B,Travaux de menuiserie métallique et serrurerie,1.0
B1602,Réalisation d'objets artistiques et fonctionnels en verre,2319Z,"Fabrication et façonnage d'autres articles en verre, y compris verre technique",3.0
B1603,"Réalisation d'ouvrages en bijouterie, joaillerie et orfèvrerie",3212Z,Fabrication d'articles de joaillerie et bijouterie,4.0
B1603,"Réalisation d'ouvrages en bijouterie, joaillerie et orfèvrerie",3213Z,Fabrication d'articles de bijouterie fantaisie et articles similaires,3.0
B1603,"Réalisation d'ouvrages en bijouterie, joaillerie et orfèvrerie",9525Z,Réparation d'articles d'horlogerie et de bijouterie,2.0
B1603,"Réalisation d'ouvrages en bijouterie, joaillerie et orfèvrerie",4648Z,Commerce de gros (commerce interentreprises) d'articles d'horlogerie et de bijouterie,2.0
B1603,"Réalisation d'ouvrages en bijouterie, joaillerie et orfèvrerie",4777Z,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,2.0
B1603,"Réalisation d'ouvrages en bijouterie, joaillerie et orfèvrerie",3211Z,Frappe de monnaie,1.0
B1604,Réparation - montage en systèmes horlogers,9525Z,Réparation d'articles d'horlogerie et de bijouterie,4.0
B1604,Réparation - montage en systèmes horlogers,2652Z,Horlogerie,2.0
B1604,Réparation - montage en systèmes horlogers,3213Z,Fabrication d'articles de bijouterie fantaisie et articles similaires,1.0
B1604,Réparation - montage en systèmes horlogers,4777Z,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,1.0
B1802,Réalisation d'articles en cuir et matériaux souples (hors vêtement),1512Z,"Fabrication d'articles de voyage, de maroquinerie et de sellerie",3.0
B1802,Réalisation d'articles en cuir et matériaux souples (hors vêtement),2441Z,Production de métaux précieux,2.0
B1802,Réalisation d'articles en cuir et matériaux souples (hors vêtement),9523Z,Réparation de chaussures et d'articles en cuir,1.0
B1803,Réalisation de vêtements sur mesure ou en petite série,1413Z,Fabrication de vêtements de dessus,3.0
B1803,Réalisation de vêtements sur mesure ou en petite série,1420Z,Fabrication d'articles en fourrure,2.0
B1803,Réalisation de vêtements sur mesure ou en petite série,1411Z,Fabrication de vêtements en cuir,1.0
B1803,Réalisation de vêtements sur mesure ou en petite série,1419Z,Fabrication d'autres vêtements et accessoires,1.0
B1803,Réalisation de vêtements sur mesure ou en petite série,7722Z,Location de vidéocassettes et disques vidéo,1.0
B1803,Réalisation de vêtements sur mesure ou en petite série,1412Z,Fabrication de vêtements de travail,1.0
B1803,Réalisation de vêtements sur mesure ou en petite série,9529Z,Réparation d'autres biens personnels et domestiques,1.0
B1803,Réalisation de vêtements sur mesure ou en petite série,1391Z,Fabrication d'étoffes à mailles,1.0
B1803,Réalisation de vêtements sur mesure ou en petite série,1414Z,Fabrication de vêtements de dessous,1.0
B1803,Réalisation de vêtements sur mesure ou en petite série,4751Z,Commerce de détail de textiles en magasin spécialisé,1.0
B1803,Réalisation de vêtements sur mesure ou en petite série,1399Z,Fabrication d'autres textiles n.c.a.,1.0
B1803,Réalisation de vêtements sur mesure ou en petite série,3109A,Fabrication de sièges d'ameublement d'intérieur,1.0
B1803,Réalisation de vêtements sur mesure ou en petite série,1439Z,Fabrication d'autres articles à mailles,1.0
B1803,Réalisation de vêtements sur mesure ou en petite série,1512Z,"Fabrication d'articles de voyage, de maroquinerie et de sellerie",1.0
B1804,Réalisation d'ouvrages d'art en fils,1399Z,Fabrication d'autres textiles n.c.a.,1.0
B1805,Stylisme,1413Z,Fabrication de vêtements de dessus,3.0
B1805,Stylisme,1420Z,Fabrication d'articles en fourrure,2.0
B1805,Stylisme,1411Z,Fabrication de vêtements en cuir,2.0
B1805,Stylisme,0163Z,Traitement primaire des récoltes,2.0
B1805,Stylisme,4642Z,Commerce de gros (commerce interentreprises) d'habillement et de chaussures,2.0
B1805,Stylisme,3212Z,Fabrication d'articles de joaillerie et bijouterie,1.0
B1805,Stylisme,3213Z,Fabrication d'articles de bijouterie fantaisie et articles similaires,1.0
B1805,Stylisme,1414Z,Fabrication de vêtements de dessous,1.0
B1805,Stylisme,1439Z,Fabrication d'autres articles à mailles,1.0
B1805,Stylisme,8421Z,Affaires étrangères,1.0
B1805,Stylisme,7410Z,Activités spécialisées de design,1.0
B1806,Tapisserie - décoration en ameublement,3109A,Fabrication de sièges d'ameublement d'intérieur,3.0
B1806,Tapisserie - décoration en ameublement,9524Z,Réparation de meubles et d'équipements du foyer,2.0
B1806,Tapisserie - décoration en ameublement,9002Z,Activités de soutien au spectacle vivant,1.0
B1806,Tapisserie - décoration en ameublement,3109B,Fabrication d'autres meubles et industries connexes de l'ameublement,1.0
B1806,Tapisserie - décoration en ameublement,4751Z,Commerce de détail de textiles en magasin spécialisé,1.0
C1102,Conseil clientèle en assurances,6622Z,Activités des agents et courtiers d'assurances,4.0
C1102,Conseil clientèle en assurances,6512Z,Autres assurances,3.0
C1102,Conseil clientèle en assurances,6511Z,Assurance vie,3.0
C1102,Conseil clientèle en assurances,6419Z,Autres intermédiations monétaires,2.0
C1102,Conseil clientèle en assurances,6520Z,Réassurance,1.0
C1102,Conseil clientèle en assurances,6629Z,Autres activités auxiliaires d'assurance et de caisses de retraite,1.0
C1102,Conseil clientèle en assurances,8430B,Gestion des retraites complémentaires,1.0
C1102,Conseil clientèle en assurances,6621Z,Évaluation des risques et dommages,1.0
C1102,Conseil clientèle en assurances,6492Z,Autre distribution de crédit,1.0
C1102,Conseil clientèle en assurances,6491Z,Crédit-bail,1.0
C1102,Conseil clientèle en assurances,8430A,Activités générales de sécurité sociale,1.0
C1102,Conseil clientèle en assurances,8220Z,Activités de centres d'appels,1.0
C1105,Études actuarielles en assurances,6520Z,Réassurance,2.0
C1105,Études actuarielles en assurances,6511Z,Assurance vie,1.0
C1106,Expertise risques en assurances,6621Z,Évaluation des risques et dommages,1.0
C1107,Indemnisations en assurances,6621Z,Évaluation des risques et dommages,1.0
C1109,Rédaction et gestion en assurances,6511Z,Assurance vie,4.0
C1109,Rédaction et gestion en assurances,8430B,Gestion des retraites complémentaires,4.0
C1109,Rédaction et gestion en assurances,6520Z,Réassurance,3.0
C1109,Rédaction et gestion en assurances,6512Z,Autres assurances,3.0
C1109,Rédaction et gestion en assurances,6622Z,Activités des agents et courtiers d'assurances,3.0
C1109,Rédaction et gestion en assurances,6530Z,Caisses de retraite,2.0
C1109,Rédaction et gestion en assurances,6629Z,Autres activités auxiliaires d'assurance et de caisses de retraite,1.0
C1109,Rédaction et gestion en assurances,6621Z,Évaluation des risques et dommages,1.0
C1109,Rédaction et gestion en assurances,6611Z,Administration de marchés financiers,1.0
C1109,Rédaction et gestion en assurances,8430A,Activités générales de sécurité sociale,1.0
C1109,Rédaction et gestion en assurances,6311Z,"Traitement de données, hébergement et activités connexes",1.0
C1201,Accueil et services bancaires,6419Z,Autres intermédiations monétaires,4.0
C1201,Accueil et services bancaires,0163Z,Traitement primaire des récoltes,3.0
C1201,Accueil et services bancaires,6411Z,Activités de banque centrale,1.0
C1201,Accueil et services bancaires,6619B,"Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite, n.c.a.",1.0
C1201,Accueil et services bancaires,6492Z,Autre distribution de crédit,1.0
C1201,Accueil et services bancaires,6499Z,"Autres activités des services financiers, hors assurance et caisses de retraite, n.c.a.",1.0
C1201,Accueil et services bancaires,6622Z,Activités des agents et courtiers d'assurances,1.0
C1201,Accueil et services bancaires,6512Z,Autres assurances,1.0
C1201,Accueil et services bancaires,5310Z,Activités de poste dans le cadre d'une obligation de service universel,1.0
C1201,Accueil et services bancaires,8430A,Activités générales de sécurité sociale,1.0
C1202,Analyse de crédits et risques bancaires,6491Z,Crédit-bail,3.0
C1202,Analyse de crédits et risques bancaires,0112Z,Culture du riz,2.0
C1202,Analyse de crédits et risques bancaires,6492Z,Autre distribution de crédit,2.0
C1202,Analyse de crédits et risques bancaires,6611Z,Administration de marchés financiers,1.0
C1202,Analyse de crédits et risques bancaires,6619B,"Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite, n.c.a.",1.0
C1202,Analyse de crédits et risques bancaires,6419Z,Autres intermédiations monétaires,1.0
C1203,Relation clients banque/finance,6419Z,Autres intermédiations monétaires,1.0
C1203,Relation clients banque/finance,6492Z,Autre distribution de crédit,1.0
C1205,Conseil en gestion de patrimoine financier,6619B,"Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite, n.c.a.",2.0
C1205,Conseil en gestion de patrimoine financier,6419Z,Autres intermédiations monétaires,1.0
C1205,Conseil en gestion de patrimoine financier,6511Z,Assurance vie,1.0
C1206,Gestion de clientèle bancaire,6419Z,Autres intermédiations monétaires,4.0
C1206,Gestion de clientèle bancaire,6492Z,Autre distribution de crédit,3.0
C1206,Gestion de clientèle bancaire,6619B,"Autres activités auxiliaires de services financiers, hors assurance et caisses de retraite, n.c.a.",3.0
C1206,Gestion de clientèle bancaire,6491Z,Crédit-bail,2.0
C1206,Gestion de clientèle bancaire,6622Z,Activités des agents et courtiers d'assurances,2.0
C1206,Gestion de clientèle bancaire,6512Z,Autres assurances,2.0
C1206,Gestion de clientèle bancaire,0610Z,Extraction de pétrole brut,1.0
C1206,Gestion de clientèle bancaire,6411Z,Activités de banque centrale,1.0
C1206,Gestion de clientèle bancaire,6612Z,Courtage de valeurs mobilières et de marchandises,1.0
C1206,Gestion de clientèle bancaire,6511Z,Assurance vie,1.0
